symbol,entry_date,entry_price,exit_date,exit_price,exit_reason,days_held,pnl_pct,pnl_rs,composite,regime
THELEELA,2026-05-04,430.65,2026-05-11,411.71,stopped_out,5,-4.4,-879.73,62.9,TRENDING_UP
LAURUSLABS,2026-05-04,1166.4,2026-05-11,1266.8,time_exit_5d,5,8.61,1721.54,62.1,TRENDING_UP
MOTILALOFS,2026-05-04,836.6,2026-05-11,860.7,time_exit_5d,5,2.88,576.14,62.0,TRENDING_UP
CGCL,2026-05-04,194.85,2026-05-11,192.01,stopped_out,5,-1.46,-291.07,59.9,TRENDING_UP
MARICO,2026-05-04,784.55,2026-05-05,762.11,stopped_out,1,-2.86,-571.94,59.3,TRENDING_UP
ABCAPITAL,2026-05-05,360.85,2026-05-12,343.93,stopped_out,5,-4.69,-937.67,44.7,CHOPPY
KPITTECH,2026-05-05,772.5,2026-05-06,734.31,stopped_out,1,-4.94,-988.77,38.5,CHOPPY
GODREJPROP,2026-05-05,1809.5,2026-05-12,1716.47,stopped_out,5,-5.14,-1028.26,38.3,CHOPPY
IDBI,2026-05-05,74.53,2026-05-12,71.35,stopped_out,5,-4.27,-853.35,38.2,CHOPPY
CGPOWER,2026-05-05,826.9,2026-05-12,833.64,stopped_out,5,0.82,163.09,37.7,CHOPPY
LUPIN,2026-05-06,2442.9,2026-05-08,2361.22,stopped_out,2,-3.34,-668.67,66.2,TRENDING_UP
POLYCAB,2026-05-06,8415.5,2026-05-13,8887.5,time_exit_5d,5,5.61,1121.74,62.1,TRENDING_UP
KIMS,2026-05-06,700.3,2026-05-12,751.54,stopped_out,4,7.32,1463.45,62.0,TRENDING_UP
ECLERX,2026-05-06,1581.5,2026-05-13,1556.46,stopped_out,5,-1.58,-316.7,60.9,TRENDING_UP
ABCAPITAL,2026-05-06,369.3,2026-05-11,352.56,stopped_out,3,-4.53,-906.64,60.3,TRENDING_UP
HEXT,2026-05-07,460.55,2026-05-14,475.69,stopped_out,5,3.29,657.6,40.8,CHOPPY
EXIDEIND,2026-05-07,364.45,2026-05-14,349.7,time_exit_5d,5,-4.05,-809.44,39.3,CHOPPY
FEDERALBNK,2026-05-07,297.05,2026-05-12,286.16,stopped_out,3,-3.66,-732.92,36.0,CHOPPY
CGPOWER,2026-05-07,859.1,2026-05-14,848.25,time_exit_5d,5,-1.26,-252.59,34.5,CHOPPY
