month,symbol,start,end,days,move_pct,primary,all_patterns
June,AEGISLOG,2026-06-02,2026-06-11,7,20.7,ma_stack_rising,"ma_stack_rising,above_rising_20sma,momentum_roc10>5,hh_hl_uptrend,rs_beats_nifty"
June,KIRLOSENG,2026-06-18,2026-06-22,2,20.5,ma_stack_rising,"ma_stack_rising,near_20d_high,above_rising_20sma,hh_hl_uptrend"
June,BATAINDIA,2026-06-04,2026-06-18,10,20.1,NEWS:earnings/results,
June,IDBI,2026-06-16,2026-06-17,1,17.1,above_rising_20sma,"above_rising_20sma,momentum_roc10>5,hh_hl_uptrend,rs_beats_nifty"
June,FACT,2026-06-02,2026-06-16,10,14.5,ma_stack_rising,"ma_stack_rising,pullback_in_uptrend,hh_hl_uptrend,strong_close,rs_beats_nifty"
June,WELSPUNLIV,2026-06-04,2026-06-18,10,13.0,ma_stack_rising,"ma_stack_rising,near_20d_high,above_rising_20sma,hh_hl_uptrend,rs_beats_nifty"
June,CARTRADE,2026-06-09,2026-06-10,1,12.1,volume_thrust_2x,"volume_thrust_2x,ma_stack_rising,pullback_in_uptrend,near_20d_high,above_rising_20sma,momentum_roc10>5,hh_hl_uptrend,strong_close,rs_beats_nifty"
June,CEMPRO,2026-06-01,2026-06-09,6,12.1,ma_stack_rising,"ma_stack_rising,pullback_in_uptrend,near_20d_high,above_rising_20sma,momentum_roc10>5,hh_hl_uptrend,strong_close,rs_beats_nifty"
June,MEESHO,2026-06-09,2026-06-23,10,12.0,TECHNICAL:near_ma_ambiguous,
June,JYOTICNC,2026-06-08,2026-06-12,4,11.8,TECHNICAL:deep_oversold_bounce,
June,SONATSOFTW,2026-06-02,2026-06-16,10,11.8,volume_thrust_2x,"volume_thrust_2x,ma_stack_rising,pullback_in_uptrend,above_rising_20sma,momentum_roc10>5,hh_hl_uptrend,rs_beats_nifty"
June,THELEELA,2026-06-01,2026-06-15,10,11.8,rs_beats_nifty,rs_beats_nifty
June,FIVESTAR,2026-06-16,2026-06-18,2,11.7,momentum_roc10>5,"momentum_roc10>5,hh_hl_uptrend,rs_beats_nifty"
June,ZENSARTECH,2026-06-18,2026-07-03,10,11.5,TECHNICAL:deep_oversold_bounce,
June,TARIL,2026-06-05,2026-06-19,10,11.4,ma_stack_rising,"ma_stack_rising,pullback_in_uptrend,hh_hl_uptrend,strong_close,rs_beats_nifty"
June,MMTC,2026-06-05,2026-06-16,7,11.3,ma_stack_rising,"ma_stack_rising,above_rising_20sma,momentum_roc10>5,hh_hl_uptrend,rs_beats_nifty"
June,TRITURBINE,2026-06-08,2026-06-22,10,11.1,ma_stack_rising,"ma_stack_rising,above_rising_20sma"
June,SUMICHEM,2026-06-18,2026-07-03,10,11.0,TECHNICAL:near_ma_ambiguous,
