symbol,current_count
360ONE,0
ACMESOLAR,0
AIAENG,0
APLAPOLLO,0
AUBANK,0
AWL,0
AADHARHFC,0
AAVAS,0
ABBOTINDIA,0
ACE,0
ACUTAAS,0
ADANIENSOL,0
ADANIGREEN,0
ADANIPORTS,0
ADANIPOWER,0
ATGL,0
ABCAPITAL,0
ABFRL,0
ABLBL,0
ABSLAMC,0
CPPLUS,0
AEGISVOPAK,0
AFCONS,0
AFFLE,0
AJANTPHARM,0
ALKEM,0
ABDL,0
ANANDRATHI,0
ANANTRAJ,0
ANTHEM,0
ANURAS,0
APARINDS,0
APTUS,0
ASAHIINDIA,0
ASTERDM,0
ASTRAL,0
ATHERENERG,0
AIIL,0
DMART,0
AXISBANK,0
BLS,0
BSE,0
BAJAJ-AUTO,0
BAJAJFINSV,0
BAJAJHFL,0
BANDHANBNK,0
BANKBARODA,0
BANKINDIA,0
MAHABANK,0
BAYERCROP,0
BELRISE,0
BDL,0
BHARTIARTL,0
BHARTIHEXA,0
BIKAJI,0
GROWW,0
BIOCON,0
BSOFT,0
BLUEJET,0
BLUESTARCO,0
BOSCHLTD,0
FIRSTCRY,0
BRIGADE,0
MAPMYINDIA,0
CCL,0
CANBK,0
CANHLIFE,0
CAPLIPOINT,0
CGCL,0
CARTRADE,0
CEATLTD,0
CEMPRO,0
CENTRALBK,0
CDSL,0
CHALET,0
CHENNPETRO,0
CHOICEIN,0
CHOLAHLDNG,0
CUB,0
CLEAN,0
COALINDIA,0
COCHINSHIP,0
COFORGE,0
COHANCE,0
COLPAL,0
CONCORDBIO,0
CONCOR,0
CRAFTSMAN,0
CREDITACC,0
CROMPTON,0
CUMMINSIND,0
CYIENT,0
DLF,0
DOMS,0
DALBHARAT,0
DATAPATTNS,0
DEEPAKNTR,0
DELHIVERY,0
DEVYANI,0
DIVISLAB,0
DIXON,0
LALPATHLAB,0
DUMMYVEDL1,0
DUMMYVEDL2,0
DUMMYVEDL3,0
DUMMYVEDL4,0
ELECON,0
EMAMILTD,0
EMCURE,0
EMMVEE,0
ENDURANCE,0
ENGINERSIN,0
ERIS,0
ETERNAL,0
NYKAA,0
FSL,0
FIVESTAR,0
FORCEMOT,0
FORTIS,0
GAIL,0
GVT&D,0
GMRAIRPORT,0
GALLANTT,0
GRSE,0
GILLETTE,0
GLENMARK,0
MEDANTA,0
GODIGIT,0
GPIL,0
GODREJCP,0
GODREJIND,0
GODREJPROP,0
GRANULES,0
GRAVITA,0
GESHIP,0
FLUOROCHEM,0
GMDCLTD,0
GSPL,0
HBLENGINE,0
HCLTECH,0
HDBFS,0
HDFCAMC,0
HFCL,0
HAVELLS,0
HEROMOTOCO,0
HEXT,0
HSCL,0
HINDALCO,0
HINDCOPPER,0
HINDPETRO,0
HINDUNILVR,0
HINDZINC,0
POWERINDIA,0
HOMEFIRST,0
HONASA,0
HONAUT,0
HUDCO,0
HYUNDAI,0
ICICIBANK,0
ICICIGI,0
ICICIAMC,0
ICICIPRULI,0
IDBI,0
IDFCFIRSTB,0
IFCI,0
IIFL,0
IRB,0
IRCON,0
ITCHOTELS,0
ITC,0
ITI,0
INDGN,0
INDIACEM,0
INDIAMART,0
INDIANB,0
INDHOTEL,0
IOC,0
IOB,0
IRCTC,0
IRFC,0
IREDA,0
IGL,0
INDUSTOWER,0
INDUSINDBK,0
NAUKRI,0
INFY,0
INOXWIND,0
INTELLECT,0
INDIGO,0
IGIL,0
IKS,0
IPCALAB,0
JBCHEPHARM,0
JKCEMENT,0
JBMA,0
JKTYRE,0
JMFINANCIL,0
JSWCEMENT,0
JSWDULUX,0
JSWENERGY,0
JSWINFRA,0
JSWSTEEL,0
JAINREC,0
JPPOWER,0
J&KBANK,0
JINDALSAW,0
JSL,0
JINDALSTEL,0
JIOFIN,0
JUBLFOOD,0
JUBLINGREA,0
JUBLPHARMA,0
JWL,0
JYOTICNC,0
KPRMILL,0
KEI,0
KPITTECH,0
KAJARIACER,0
KPIL,0
KALYANKJIL,0
KARURVYSYA,0
KAYNES,0
KEC,0
KFINTECH,0
KIRLOSENG,0
KOTAKBANK,0
KIMS,0
LTF,0
LTTS,0
LGEINDIA,0
LICHSGFIN,0
LTFOODS,0
