Symbol,Company Name,Series,ISIN Code
360ONE,360 ONE WAM Ltd.,EQ,INE466L01038
3MINDIA,3M India Ltd.,EQ,INE470A01017
ABB,ABB India Ltd.,EQ,INE117A01022
ACC,ACC Ltd.,EQ,INE012A01025
ACMESOLAR,ACME Solar Holdings Ltd.,EQ,INE622W01025
AIAENG,AIA Engineering Ltd.,EQ,INE212H01026
APLAPOLLO,APL Apollo Tubes Ltd.,EQ,INE702C01027
AUBANK,AU Small Finance Bank Ltd.,EQ,INE949L01017
AWL,AWL Agri Business Ltd.,EQ,INE699H01024
AADHARHFC,Aadhar Housing Finance Ltd.,EQ,INE883F01010
AARTIIND,Aarti Industries Ltd.,EQ,INE769A01020
AAVAS,Aavas Financiers Ltd.,EQ,INE216P01012
ABBOTINDIA,Abbott India Ltd.,EQ,INE358A01014
ACE,Action Construction Equipment Ltd.,EQ,INE731H01025
ACUTAAS,Acutaas Chemicals Ltd.,EQ,INE00FF01025
ADANIENSOL,Adani Energy Solutions Ltd.,EQ,INE931S01010
ADANIENT,Adani Enterprises Ltd.,EQ,INE423A01024
ADANIGREEN,Adani Green Energy Ltd.,EQ,INE364U01010
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,EQ,INE742F01042
ADANIPOWER,Adani Power Ltd.,EQ,INE814H01029
ATGL,Adani Total Gas Ltd.,EQ,INE399L01023
ABCAPITAL,Aditya Birla Capital Ltd.,EQ,INE674K01013
ABFRL,Aditya Birla Fashion and Retail Ltd.,EQ,INE647O01011
ABLBL,Aditya Birla Lifestyle Brands Ltd.,EQ,INE14LE01019
ABREL,Aditya Birla Real Estate Ltd.,EQ,INE055A01016
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,EQ,INE404A01024
CPPLUS,Aditya Infotech Ltd.,EQ,INE819V01029
AEGISLOG,Aegis Logistics Ltd.,EQ,INE208C01025
AEGISVOPAK,Aegis Vopak Terminals Ltd.,EQ,INE0INX01018
AFCONS,Afcons Infrastructure Ltd.,EQ,INE101I01011
AFFLE,Affle 3i Ltd.,EQ,INE00WC01027
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,EQ,INE031B01049
ALKEM,Alkem Laboratories Ltd.,EQ,INE540L01014
ABDL,Allied Blenders and Distillers Ltd.,EQ,INE552Z01027
ARE&M,Amara Raja Energy & Mobility Ltd.,EQ,INE885A01032
AMBER,Amber Enterprises India Ltd.,EQ,INE371P01015
AMBUJACEM,Ambuja Cements Ltd.,EQ,INE079A01024
ANANDRATHI,Anand Rathi Wealth Ltd.,EQ,INE463V01026
ANANTRAJ,Anant Raj Ltd.,EQ,INE242C01024
ANGELONE,Angel One Ltd.,EQ,INE732I01021
ANTHEM,Anthem Biosciences Ltd.,EQ,INE0CZ201020
